league_name,website,discovery_status,clubs_found_count
i9 Sports,https://www.i9sports.com,fetch_not_attempted,0
Unrivaled Sports / Unrivaled Flag,https://unrivaledflag.com,fetch_not_attempted,0
Under the Lights Flag Football (Unrivaled),https://www.uaflag.com,fetch_not_attempted,0
Football N America / FNA (Drew Brees),https://playfna.com,fetch_not_attempted,0
Next Level Flag Football,https://www.nextlevelsports.com,fetch_not_attempted,0
National Flag Football (NFF),https://www.nationalflagfootball.com,fetch_not_attempted,0
N Zone Sports,https://nzonesports.com,fetch_not_attempted,0
Gridiron Football (G Series),https://gridironfb.com,fetch_not_attempted,0
American Flag Football League (AFFL),https://affl.com,fetch_not_attempted,0
7v7 Unlimited,https://www.7v7unlimited.com,fetch_not_attempted,0
RCX Sports (NFL FLAG operator),https://nflflag.com,fetch_not_attempted,0
St. Louis Flag Football / Elite Football Academy,https://stlflagfootball.com,fetch_not_attempted,0
Wishbone Sports,https://wishbonesports.com,fetch_not_attempted,0
East Bay NFL Flag,https://www.eastbaynflflag.com,fetch_not_attempted,0
NorCal Flag Football,https://www.norcalflagfootball.org,fetch_not_attempted,0
NFL FLAG SoCal,https://nflflagsocal.com,fetch_not_attempted,0
NFL Flag Football Inland Empire,https://www.nflflagie.com,fetch_not_attempted,0
NFL Flag San Diego,https://www.nflflagsd.com,fetch_not_attempted,0
CALFLAG,https://calflag.com,fetch_not_attempted,0
SV5 NFL Flag Football,https://www.sv5nflflag.com,fetch_not_attempted,0
Core 5 Flag Football,https://core5ff.com,fetch_not_attempted,0
AZ Youth Flag Football Brigade,https://www.azfootballbrigade.com,fetch_not_attempted,0
AZ Turf Warz,https://www.azturfwarz.com,fetch_not_attempted,0
Club Sports Alaska,https://www.clubsportsalaska.com,fetch_not_attempted,0
Alaska Elite Flag Football League,https://alaskaeliteflagffl.com,fetch_not_attempted,0
Missouri Wolverines Youth Football,https://www.missouriwolverines.com,fetch_not_attempted,0
Kansas City NFL FLAG (Sporting KC venue),https://www.kcflagfootball.com,fetch_not_attempted,0
Red Zone Youth Football,https://redzonecamp.com,fetch_not_attempted,0
Blue Chip Youth Sports,https://www.bluechipyouthsports.com,fetch_not_attempted,0
Skyhawks Sports,https://skyhawks.com,fetch_not_attempted,0
Midwest Flag Football,https://midwestflagfootball.com,fetch_not_attempted,0
Metro Boston NFL Flag / Metro Boston Sports Group,https://www.metrobostonsportsgroup.com,fetch_not_attempted,0
DeSoto Youth Sports Leagues (DYSL),https://dyslflagfootball.sportngin.com,fetch_not_attempted,0
Mo-Kan NFL FLAG,https://www.mokannflflag.com,fetch_not_attempted,0
Dakota Domination,https://www.dakotadomination.com,fetch_not_attempted,0
NW Vegas Flag,https://www.nwvegasflag.com,fetch_not_attempted,0
New Jersey Flag Football League,https://www.njflag.com,fetch_not_attempted,0
Spring Hill NFL Flag Football League,https://www.springhillnflflagfootball.com,fetch_not_attempted,0
GoodSports USA / Monmouth County Flag,https://www.goodsportsusa.com/football,fetch_not_attempted,0
NFL Flag NJ Morris County,https://www.nflflagnj.com,fetch_not_attempted,0
Next Gen Flag Football Illinois,https://www.nextgenflagfootball.net,fetch_not_attempted,0
SWYFT Flag,https://www.swyftflag.com,fetch_not_attempted,0
SYC Flag Football (Springfield Youth Club),https://www.sycva.com/flagfootball,fetch_not_attempted,0
406 Youth Sports Association,https://www.406youthsports.com,fetch_not_attempted,0
NFL FLAG (via NFL Foundation / RCX Sports),https://nflflag.com,fetch_not_attempted,0
Pop Warner Little Scholars,https://www.popwarner.com,fetch_not_attempted,0
American Youth Football (AYF),https://www.americanyouthfootball.com,fetch_not_attempted,0
USA Football,https://www.usafootball.com,fetch_not_attempted,0
USA FLAG (Flag Football World Championship Tour),https://usaflag.org,fetch_not_attempted,0
YMCA of the USA (flag football programs),https://www.ymca.org,fetch_not_attempted,0
National Association of Police Athletic Leagues (PAL),https://nationalpal.org,fetch_not_attempted,0
Boys & Girls Clubs of America (flag programs),https://www.bgca.org,fetch_not_attempted,0
Hoover Youth Flag Football,https://www.hooveralabama.gov/568/Youth-Flag-Football,fetch_not_attempted,0
Oak Mountain Youth Football Club (OMYFC),https://omyfc.com,fetch_not_attempted,0
NFL FLAG Alabama,https://www.nflflagalabama.com,fetch_not_attempted,0
Athens Youth Flag Football,https://www.athensalabama.us/386/Youth-Flag-Football,fetch_not_attempted,0
Juneau Youth Football League (JYFL),https://www.juneaufootball.com,fetch_not_attempted,0
Fairbanks Youth Football And Cheer (FYFC),https://www.fairbanksyouthfc.org,fetch_not_attempted,0
NLR Wildcats Youth Football,https://nlrwildcats.org,fetch_not_attempted,0
North Little Rock PAL Flag Football,https://nlrpal.com,fetch_not_attempted,0
Life CHAMPS Little Rock,https://lifechamps.org,fetch_not_attempted,0
Colorado NFL FLAG,https://www.coloradonflflag.com,fetch_not_attempted,0
Broncos Flag Football,https://www.broncosflagfootball.com,fetch_not_attempted,0
Littleton Youth Sports,https://www.littletonyouthsports.org,fetch_not_attempted,0
Connecticut Flag Football League (CT FLAG),https://www.ctflagfootball.com,fetch_not_attempted,0
Fairfield County Football League (FCFL),https://www.fairfieldcountyfootball.org,fetch_not_attempted,0
Northeast Flag Football League,https://www.northeastflagfootballleague.com,fetch_not_attempted,0
Greenwich Youth Football League (GYFL),https://www.greenwichyouthfootball.org,fetch_not_attempted,0
