Business_Type,Gender,Organization_Name,State,City_Region,Founded,Players_Participants,Website,Instagram_Handle,Instagram_Followers,Facebook_Page,Facebook_Followers,Twitter_X,Head_Name,Head_Title,Email,Phone,Est_Annual_Revenue_USD,Revenue_Notes
FOR-PROFIT,Co-ed,i9 Sports,National,Nationwide (250+ franchise locations),2003,5000000+ total registrations (all sports),https://www.i9sports.com,@i9sports,18500,i9 Sports,45000,@i9sports,Brian Sanders,CEO,info@i9sports.com,813-287-8370,$150000000,Franchise fees ($50-77K/unit) x 250 locations + ~$120/player registration; 5M total multi-sport registrations
FOR-PROFIT,Co-ed,Unrivaled Sports / Unrivaled Flag,National,Nationwide (27+ states),2024 (flag div.),45000+ (Under the Lights alone),https://unrivaledflag.com,@unrivaledsports,12000,Unrivaled Sports,8500,@UnrivaledSports,Josh Harris / David Blitzer,Co-Owners,info@unrivaledsports.com,N/A,$45000000,170+ local leagues + Disney World Championships (1000 teams) + Under Armour + DICK'S Sporting Goods investment
FOR-PROFIT,Co-ed,Under the Lights Flag Football (Unrivaled),National,27 states,2015,35000+,https://www.uaflag.com,@underthelightsflag,8796,Under the Lights Flag Football,N/A,,Matt Raab,Executive Director,info@uaflag.com,N/A,$12000000,~$40 net per athlete x 35000 players + tournament fees + Under Armour presenting sponsor
FOR-PROFIT,Co-ed,Football N America / FNA (Drew Brees),CA/LA/TX,California + Louisiana + Texas,2017,N/A (24 leagues),https://playfna.com,@footballnamerica,4200,Football N America,3100,,Drew Brees / Chris Stuart,Co-Founders,info@playfna.com,N/A,$3500000,24 leagues x avg 200 players x $75 registration; acquired by Unrivaled Sports Oct 2025
FOR-PROFIT,Co-ed,Next Level Flag Football,15 states,Bay Area CA + 14 states (100+ locations),2010,N/A,https://www.nextlevelsports.com,@nextlevelrecsports,363,Next Level Sports,N/A,@nextlevel_flag,N/A,Director,N/A,N/A,$8000000,100+ locations x avg 300 players x ~$100 registration + camp revenue; 15th official season 2027
FOR-PROFIT,Co-ed,National Flag Football (NFF),12 states,110 cities across 12 states,2006,N/A,https://www.nationalflagfootball.com,@nationalflagfootball,2100,National Flag Football,3700,,N/A,Director,N/A,N/A,$5000000,110 cities x avg 150 players x $95 registration + tournament fees (Battle Orlando 175 teams 25 states)
FOR-PROFIT,Co-ed,N Zone Sports,National,50+ US cities,2001,N/A,https://nzonesports.com,@nzonesports,1800,N Zone Sports,4200,,N/A,Franchise Support,N/A,N/A,$6000000,50+ franchise locations x ~$75K avg annual revenue per location
FOR-PROFIT,Co-ed,Gridiron Football (G Series),National,Nationwide tournaments (McKinney TX HQ),2022,1400+ per tournament,https://gridironfb.com,@gridironfootball,5600,Gridiron Football,4100,,N/A,Director,info@gridironfb.com,N/A,$2500000,Tournament entry fees ~$500/team x 100+ teams per event x multiple events; 21 divisions
FOR-PROFIT,Co-ed,American Flag Football League (AFFL),National,Nationwide (Boston MA hub),2017,5000+ youth (MA alone),https://affl.com,@affl,8900,American Flag Football League,6200,@affl,N/A,Commissioner,info@affl.com,N/A,$4000000,Registration + pro franchise sales (Dallas/Boston/Las Vegas) + sponsorships; pro league launching 2026
FOR-PROFIT,Co-ed,7v7 Unlimited,National,Nationwide,N/A,N/A,https://www.7v7unlimited.com,@7v7unlimited,3200,7v7 Unlimited,1800,,N/A,Director,info@7v7unlimited.com,N/A,$1500000,Tournament fees + NFLPA strategic partnership revenue; Sandlot Pro-Am event
